PostId,Title,Body,TDR,TDTYPE,Subcategory,Urgency,Lenght,NegativeS,NeutralS,PositiveS,CompoundS
1047885,What are the essential concepts all programmers should learn and use?,"I'm currently learning to program, and I didn't take CS classes so I'm basically starting out on the bottom. I have been putting together code on and off for many years, but haven't really had a good understanding of essential concepts needed for enganging in bigger projects. Object-orientation is an obvious one, and I feel I'm beginning to understand some of the concepts there. Then there is a lot of buzz and methodology, such as MVC, UML, SCRUM, SOLID and so foth and so on.. I've looked at many of these but I'm always stumped as most explanations seem to require some understanding of other concepts.I want to learn this stuff the right way, so where do I begin? What are the overarching constructs I need to understand that enable me to understand all the underpinnings of software architecture/design/development?What am I missing? Are there constructs and concepts that can and should wait until I've cleared the foundation?",Not-TD-related,Other,,,,0.046,0.916,0.038,-0.4816
1078975,How to understand Microsoft Dynamics products?,"What is the difference? They all are business management solutions. They do the same? Some sort of different editions? Do they use same platform?Dynamics NAVblock e Microsoft Dynamics NAV 2009 is a comprehensive business management solution that helps people work faster and smarter, and gives your business the flexibility to adapt to new opportunities and growth./block eDynamics AX block e Microsoft Dynamics AX 2009 is a comprehensive business management solution for mid-sized and larger organizations that works like and with familiar Microsoft software to help your people improve productivity./block eDynamics GPblock e Microsoft Dynamics GP is a richly featured business management solution that allows you to use familiar, powerful software to operate and grow your business./block eDynamics SLblock e Microsoft Dynamics SL is a business management solution specialized to help project-driven midsize organizations obtain reports and business analysis, while helping increase efficiency, accuracy, and customer satisfaction./block e",Not-TD-related,Other,,,,0.017,0.648,0.335,0.993
1096519,Software Development Analysis,"What do you think of Mr. King's software development analyst at http://devadept.com/?I ask because reading his blog has made me rethink how I should be coding software. I mean, I used to concern myself with just getting a project done, but I think I may be missing something and his blog makes me feel that way.Am I just a programmer ""playing"" software architect? I don't know, but one thing is for sure, and that is his blog has made me want to become a better coder and architect.",Not-TD-related,Other,,,,0.032,0.868,0.1,0.7013
1128022,How to incorporate training time into estimation of agile projects,"When working on an agile development project, how do you incorporate into the estimation of time for user stories/use cases/etc. the time it takes to train new developers on unfamiliar technology being used by the project?? How do other managers handle this?Of course, my question assumes that one has deemed the technology in question necessary to complete the project successfully ... or perhaps it could be considered paying down a bit of technical debt!",Not-TD-related,Other,,,,0.032,0.916,0.052,0.3678
1230329,What are some of the best-written open-source projects you have seen?,"What are some of the open source projects out there that you would hold up as shining examples of projects that correctly and effectively use enterprise sofware patterns and best practices such as Inversion of Control, Model-View-Controller, Unit Testing, etc.?For purposes of this question the project should:Include source code that illustrates the pattern in use, andBe doing something important and useful, i.e. not using the pattern frivolously just because it is flavor of the week. Hence the words, ""Correctly and Effectively"" in the question It should be software that you could show to the people who work for you and enthusiastically be able to say, ""I want you to do it the way these guys did it.""",Not-TD-related,Other,,,,0,0.849,0.151,0.9559
1234224,What is CSLA Framework and Its use?,What is CSLA Framework and Its use ?,Not-TD-related,Other,,0,,0,1,0,0
1237515,Story estimates in Scrum,"We started a project that will be managed with Scrum/XP. We wrote the whole product backlog upfront for evaluation purposes. We're making sure all stories are customer-centric and we're evaluating them bystory business value: MoSCoW technique - Must, should, could, would/won't have this implementedstory effort/complexity (= story points): 1, 2, 3, 5, 8, 13, 21, 100 - related to story complexity/effort rather than ideal days duration100 story points may have some stories with Would/Won't have because they actually are bigger complex stories that will be broken down later if needed.Calculated story importance is based on value&effort by not overlapping MoSCoW stories.But without 100 point stories our stories so far (also broken down) has complexity between 2 and 8 which we think is an appropriate story size to avoid micromanagement. But some stories became related or dependant on each other. We have stories that may take more if done first, and less if some other story would be done before them.QuestionsIs it possible to adjust story points later on during development, as we can do with story tasks where we can re-evaluate them, add new, remove existing or is this not the case with stories? Because changing their complexity, will also change end date estimates based on planned velocity. What's the best practice in this case?",Not-TD-related,Other,,,,0.039,0.894,0.067,0.6767
1268963,Why is preprocessor usage less common in languages other than C/C++/ObjC?,"I've been a Java and VB.Net programmer for about 4 years and a C programmer for about 6 months. I've also used a bunch of dynamic languages like Perl, Python, PHP, and JavaScript.I've never had a need for a preprocessor.My question is: why do you see such extensive use of preprocessors in C, C++, and Objective-C but rarely (or never) see it in languages like Java, C, or Scala?",Not-TD-related,Other,,,,0,0.895,0.105,0.7003
1297156,Unmaintainable code behind to the non-technical,"How would you explain to a non-technical person why writing code (business-logic) behind the onclick event is a bad practice and leads to unmaintainable code?Edited:I have to explain management why some refactoring is needed, also why some code is not passing code review. To some people in management this only means more funding. I came up with this example because at some point of a discussion somebody said: ..put the code behind the button and forget all that model-view-controller hype, you will finish your task faster.",Not-TD-related,Other,,,,0.063,0.937,0,-0.6597
1364561,Has Agile really worked for you as a Developer?,"I have met a lot of people for whom Agile has worked really well, and most of them tend to be managers and architects who plan and delegate the work. However I really haven't found much good developers convinced that Agile is working for them.Of course you can say if Agile isn't working for you, you aren't doing it right. But whatever remixes of Agile are out there, is it working for you as a Developer? And why? Does anyone else think, within a traditional (or close to) team structure, Agile feels more like a form of micromanagement than self-management?",Not-TD-related,Other,,,,0.017,0.905,0.078,0.7247
1372341,Scrum: Technical items in a backlog that is managed by a non technical PO?,Should technical items such as Upgrade sever from v1 to v2 or Increase startup performance or Refactor login module to reduce code complexity go in to the product backlog and if so how should a non technical product owner be able to prioritize them v.s other more functional backlog items?Should there be a separate backlog for technical stuff? Should we have a joint PO role with two persons that could prioritize functional and technical stuff on the product backlog?,Not-TD-related,Other,,,,0.06,0.912,0.028,-0.5534
1433741,What is a good ratio of refactoring time versus development time?,"I'm trying to build a plan on how we could spend more time refactoring. So I wanted to compare with the industry standards but I have hard time to find studies or metrics on that.I feel that 20% of dev time spent on refactoring seems a good ratio, but I don't have anything to show for it.In my mind, for 100% or dev time:ulli50% is spent writing code, debugging, etc...li30% is spent writing unit-testsli20% is spent refactoring codeSo around 1 line of code for 2 written end up being in the shipped product.Obviously design time, documentation time, etc is integrated in these percentages.What is an industry standard? As a rule of thumb, what is your team using?Thanks,Olivier",Not-TD-related,Other,,,,0.014,0.948,0.037,0.5588
1472805,"What is the best MVC, Doctrine2, Datamapper practice?","I am looking into using Doctrine2 with my Zend Framework setup. I really like the datamapper pattern, mainly because it seperates my domain models with my database.My question is what is the best practice for using Doctrine and DQL with my controllers?controllers uses Doctrine DQL/EntityManager directly for saving/loading my domain models?create my own classes in the datamapper pattern for saving/loading my domain models, and then use Doctrine internally in my own classes?The pros. for #1 is of course that I don't need to create my own datamapper models, but again, with #2 I can later replace Doctrine (in theory)What would you do?",Not-TD-related,Other,,,,0.014,0.933,0.054,0.6186
1484687,Self Testing Tips?,Basically I'm wondering if anyone has any tips for ensuring your code is well tested without getting any help from anyone else in a limited time frame?In the past I've always been able to find someone else to do testing on my code or had a dedicated quality assurance team go over everything and find all the errors.I'm usually pretty careful but I always find there a things I miss and when I test them I just don't see them.However in my current job I've been given two PHP web applications to write in a very limited time frame and I've been told I need to do all the testing myself despite my feedback that this wasn't a good idea.I was wondering if anyone else had this problem before and could offer some insight?I was thinking perhaps it would be good to write a quick test plan before coding each area and also to double check the requirements before doing testing.,Not-TD-related,Other,,,,0.109,0.829,0.062,-0.8719
1557841,Misusing the term Code Freeze,"I'm just curious if the community considers it acceptable to use the term ""Code Freeze"" for situations where we stop development except for testing and fixing bugs.Development Situation We're just finishing up our third and final sprint, which will be followed by a ""Code freeze"" and 2 weeks of Q/A testing. It is a big release and some components development have transcended all 3 sprints. Historically even though we call it a ""Code Freeze"" we still commit code to fix bugs.Problem Every release I try and correct my manager and co-workers that we should be calling it a ""Feature Freeze"", because it's pretty obvious that we're going to find bugs and commit code to fix them as soon as we start heavy testing. But they still persist in calling it a ""Code Freeze"". Sometimes we still have known bugs and declare a ""Code Freeze"".The Wikipedia definition seems to agree with me hereAnalysis I suspect that calling these situations a ""Code Freeze"" is some sort of willful Double Think to provide false confidence to stake holders. Or we are pretending to be in a ""Code Freeze"" situation because according to Scrum after every sprint we should have a shippable piece of software and it is the expectation we are following Scrum. So we must call it what Scrum expects instead of what it really is.ConclusionAm I over analyzing this? I just find it to be unhealthy to ignoring realities of situations and should either give it up calling it something it's not or fix the root problem. Has anybody else had similar experiences with Code Freezes?",Not-TD-related,Other,,,,0.063,0.848,0.089,-0.2047
1603648,How to convince a client that all next projects/enhancements should be done via TDD (with some agile practices)?,"We are a small team (3 developers) and one of our main clients is about to submit a bunch of new feature requests and a follow on project to us to get estimates on cost and delivery times. Our last project with them was a 'success' in that they are coming back to us but I know we could have done a much better job (we used waterfall... testing was an after thought and as a result unit-testing code coverage is significantly lower than we feel comfortable with, not to mention the never-ending 'we are ALMOST done' problem).I have just finished reading 'Art of Unit Testing' and 'Working Effectively with Legacy Code' and I have used TDD on a pet project of mine outside of work and now I can never go back to waterfall and testing after the fact. What I want to know is are there are good 'easy to digest' videos for non-developers that clearly show the benefits of TDD along with Agile practices in a business sense? I'd be super happy if there are any sub 10 minutes videos but I'm also OK with longer videos (and I will reference them to a time index in it). If there are no good videos then a written source is next best thing.I want nothing more than for them to be on board and really excited with the transition.For me it is not an option to 'just do it' as there will definitely be a learning curve for the other two developers and without doubt the first number of iterations may be stressful and bumpy and that needs to be communicated to our client.[I have answered my own question below with a number of videos I found since asking the question... they are not perfect for my use but definately my plan B if no-one else knows of a better one]",Not-TD-related,Other,,,,0.04,0.762,0.199,0.9954
1708911,.NET Team - Best Practices and Methods,What best practices and methods would you enforce on a new .NET development team?Cheers,Not-TD-related,Other,,,,0,0.741,0.259,0.6369
1724381,"Explaining why Just add another column to the DB is a bad idea, to non programmers","I have sales people and bean counters who are trying to sell customizations to clients, which is fine. But when a complex change request comes in that I send back a large estimate for, they get confused. Often they come back at me with Why can't you just add another column? which by another, they mean a dozen or so custom columns PER client.So far all I can come back with is We are trying to keep the database well normalized which means nothing to them. I tell them I can create a system of tables that allows each client to define their own set of custom fields, but of course that takes more time and money than just adding a few columns. And of course they want to have their cake and eat it too.So how can I make them understand?",Not-TD-related,Other,,,,0.021,0.917,0.062,0.5514
1727307,refactor refactor refactor your code. What does this mean exactly and why do it?,I often heard from professionals blog something like refactoring your code whenever the chance you get. What is it exactly? Rewriting your code in simpler and fewer lines? What is the purpose of doing this?,Not-TD-related,Other,,,,0,0.864,0.136,0.6174
1731438,Do good tests enable sloppy coding?,"Let's say you're coding, and you come across an opportunity for simple code resuse (e.g. pulling a common piece of code out to an accessible place like a Utility class or base class). You might find yourself thinking, I know it's good to do this, but I have to get this done now, and if I need to make a change to this code, and forget to change it in the other place, my testing framework will let me know.In other words, you let the awesome tests you (or another developer) has written to remind you to change the code in the other places too.Is this a legitimate problem that we might find in ourselves or other developers?",Not-TD-related,Other,,,,0.048,0.86,0.092,0.6542
1819523,What is better: set up underestimated or overestimated deadlines?,"Suppose you are a project manager. You can estimate an effort in days for specific task for specific developer. After performing estimation you obtain some min and max values.After this you delegate a task to developer. Actually you also set up deadline.brWhich estimation is better to use when set up deadline: min or max?As I see min estimation can result in stress for developer, max estimation can result in using all the time which is allocated to developer even if task can be complete faster (so called a href=http://en.wikipedia.org/wiki/Student_syndrome rel=noreferrerStudent syndrome/a). Which other pros and cons of two approaches?EDIT:Small clarification: I speak about setting up deadlines for subordinates when delegating the task, NOT for reporting to my boss.EDIT:To add one more clarification: I can keep in mind my emreal/em estimation, provide to boss slightly larger estimation, to subordinates - slightly smaller.And this questions touches the following thing: is it good idea to provide to developer underestimation to make him working harder?",Not-TD-related,Other,,,,0.017,0.943,0.04,0.5484
1828057,System stories for agile architecture,"While trying to apply agile principles to our development process, in particular scrum principles and XP-like user stories, we faced a problem about the architecture.Maybe we are still too much linked to the architecture-centric development, however we are trying to maintain a  component based development, mixed with the agile modeling principles. Our aim is to have a small design up front, prone to evolutions during the development.What I'm looking for is something that could let me place into my backlog stories about my architecture and the components inside of it: development stories, not only usage stories.System story could be a different kind of user story, which tells something that is not strictly related to business value, but that is instead linked to architecture and quality concerns of a system.Edit:I found a href=http://www.springerlink.com/content/t7116q17687u8685/ rel=noreferrerthis research/a of the Aalborg University about emdeveloper stories/em.Have you any experience, idea or opposition?Thank you in advance! (this is my first question! :D)",Not-TD-related,Other,,,,0.016,0.973,0.011,-0.1862
2015947,Software development metrics and reporting,"I've had some interesting conversations recently about software development metrics, in particular how they can be used in a reasonably large organisation to help development teams work better. I know there have been Stack Overflow questions about which metrics are good to use - like this one, but my question is more about which metrics are useful to which stakeholders, and at what level of aggregation.As an example, my view is that code coverage is a useful metric in the following ways (and maybe others):For a team's own internal use when combined with other measurements.
For facilitating/enabling/mentoring teams, where it might be instructive when considered on a team-by-team basis as a trend (e.g. if team A and B have coverage this month of 75 and 50, I'd be more concerned with team A than B if the previous month they'd had 80 and 40).For senior management when presented as an aggregated statistic across a number of teams or a whole department.But I don't think it's useful for senior management to see this on a team-by-team basis, as this encourages artifical attempts to bolster coverage with tests that merely exercise, rather than test, code.I'm in an organisation with a couple of levels in its management hierarchy, but where the vast majority of managers are technically minded and able (with many still getting their hands dirty). Some of the development teams are leading the way in driving towards agile development practices, but others lag, and there is now a serious mandate from the top for this to be the way the organisation works. A couple of us are starting a programme to encourage this. In this sort of an organisation, what sort of metrics do you think are useful, to whom, why, and at what level of aggregation?I don't want people to feel their performance is being assessed based on a metric that they can artificially influence; at the same time, the senior management are going to want some sort of evidence that progress is being made. What advice or caveats can you provide based on experience in your own organisations?EDITWe are definitely wanting to use metrics as a tool for organisational improvement not as a tool for individual performance measurement.",Not-TD-related,Other,,,,0.019,0.853,0.128,0.9917
2052101,Corp IT Systems direction. Invest in A or B?,"This is more of a general question about which direction would be a better investment for the company. Our company's core business application is written in Visual FoxPro and is about 9+ years old. The database is huge 15+ gigs and the core logic is complex and to make matters worse the data model is terrible. The two guys that built it and have maintained it all these years are at least in their 50's, so needless to say retirement or possibly death could come within the next decade or so.This VFP app drives all our core business functions and requires terminal services and citrix to access it from the outside world. Our web apps have to interface with it via ODBC and we are always having performance issues with it. The servers that run this system are also very old, like Win 2000 server and are falling apart.Recently we have been having meetings about upgrading the systems that run this core app as well as other services like email and file storage. The biggest expense however is buying new server hardware, OS licensing, Terminal Services licensing, Citrix licensing etc to solve some performance and outside access issues we are currently having as well as just generally bringing us to date on our systems. The price tag is going to be in the $55K to $65K price range. So as a web developer my point of view is that this is a huge waste of money! My solution would be to invest that money in rewriting the core system to run on the web based .Net platform. This would eliminate the need for Terminal Server and Citrix licensing along with the pricey hardware and configuration management to run it on. I don't see the point in investing this kind of money in an antiquated system that should be on it's way out anyways.I am looking to get some convincing arguments as to why this is a waste of money. Hopefully there is someone here that has faced this type of situation before that can give me some points of view. The hardware upgrade seems to be the easiest road to take because they will just have a consultant come in and do it all. A software development project would take longer, require more resources and possibly cost a little more money.",Not-TD-related,Other,,,,0.048,0.868,0.084,0.9003
2086175,Using Oracle Zero Date,"I have an application with existing data, that has Zero in the date column.When I look at it from sqlplus I see:00-DECEMBwhen I use the dump function on this column, I Get:Typ=12 Len=7: 100,100,0,0,1,1,1I need to work with the existing data from .Net (no changes to the data,or the data structure or even existing sql statements) How the hack do I read this value, or write it.The db version varies, from 8 to 11.Help would be appreciated",Not-TD-related,Other,,,,0.034,0.886,0.08,0.5346
2105304,How to determine web application end of life?,"This question could bring a lot of opinions to the table, but what I will like to get is a set of measures that will help me and my company determine the end of life of a product that we sell.We sell a CMS system, with this system we create a few sub-products ulliWebsitesliProposal CreatorliMarketing Campaign TrackerWe are ready to start our road planning (for 2010 and 2011) and we are trying to figure when will be the end of the life of our application. Some of you might think that a very well architected application (I don't think our application is well architected) does not need to have an end of life, but this app that we are using goes back at least 6-7 years and has almost no documentation (real life). At this moment only ONE person knows how to change core functionality (scary).Please advice,GeohremThanks to All! I really appreciate your comments, opinions and thoughts on this topic./emI will address a few of the post back questions in the list belowulliThere is one developer that is able to maintain the core functionality of our product. (only and only one)liThere are two developers that are able to increase functionality to a certain point. Both developers are constrained by the limitations of the core product, and they both have to work within those limits.liA very important note. The product that we are considering to put to end-of-life is for the most part being built by a contractor. The contractor is the only developer able to maintain the core functionality. We only develop on top of the contractor framework.I will keep adding answers while I read you all responses.",Not-TD-related,Other,,,,0.014,0.871,0.116,0.9828
2113353,Calculating how much time you can save by estimating the code you write in a year,"I write a lot of code, but not full-time. When I look back at my projects of the past year and I do a (very) rough count (counting only code lines, no comments or white lines) I come to about 19.000 for a year that make it into a project. If I can automate parts of that, I could deduct the profit in time and money.For estimating time-saving for larger projects, I need averages. How many code lines does man write in a year, on average, in C# (or other language of choice)? And, looking at your own situation, would you consider your hand-written code could (partially) be automated and by what gain?",Not-TD-related,Other,,,,0.026,0.894,0.08,0.7912
2158080,How does one create an enthusiastic development team?,"block e If you have a room full of capable developers, what can be done to encourage those developers to become excited and enthusiastic about software and software development/block eThe correct question is actually What can be done to encourage those developers to become excited and enthusiastic about software and software development in our company.It's quite simple actually. The answer has never been a secret. It's just nobody listens to it.Very simply elements:ulliLet those enthusiastic developers work among other passionate people. Remove those who don't care from the team. Otherwise they will act like diseased cells proliferating apathy and depression to the other team members.liAspire to develop a quality and professional productliEstablish a professional and effective processliTrust and respect people. Value their knowledge. Respect their opinions. Actually, it's part of a bigger strategy: let your developers be able to make a difference and let them see they can really influence and change things.liLet them grow professionally and let them see this growth is appreciated and needed by youNow what doesn't help at all.ulliPay them badly. Developers are also humans (for the most part) and they also have their bills to pay.liReject their initiatives, proposals and improvement suggestions. Tell them each time they come up with something that their attempt to introduce change make them a foreign und unwelcome element in the company.liHave low quality product and have no interest to make it better. Hacks, copyaste code, accumulating technical debts, things falling apart after each release, that does not motivate developers.liHave badly run development and chaotic process. Tasks, projects and small decisions taking a new vector every few days will finally remove desire to be involved from anybody. Failing schedules because of unpredicted work load and feature set, they all go down the road. It will suffice to run out of coffee some day for some of them to start moving elsewhere.liHave a boring and uninteresting social environment. Developers having nobody to talk to to share their interests will finally feel dull. Not everyone is interested in taxes, football and kindergarten issues as the only topics on social gatherings.",Not-TD-related,Other,,,,0.109,0.735,0.156,0.9632
2218872,Obscure software engineering terms,"I hear a lot of terms which aren't well known amongst programmers (or perhaps the ones I work with at work aren't very good apart from a few), such as technical debt (which I studied and even see first hand at work).What other obscure/not-well-known terms are there? This is especially useful to know as interviewers sometimes mention complex terms and if I don't know what they mean, it can screw up the interview as it is in progress.Thanks",Not-TD-related,Other,,,,0.103,0.818,0.079,0.0145
2219821,What Project management lessons and best practices can we learn from the engineering and construction industry?,"It is a well known fact that IT projects fail with an alarming rate (some surveys suggest that the failure rate is more than 60%). Typically, project managers try to recover from these failures either by squeezing their resources to work extra hours or by compromising the quality of the deliverables (reduce testing effort, reduce scope etc.). Unfortunately, software quality is not deemed as very important by the business leaders. I wonder if this is true about other professions as well ? How are projects managed, for example, in the construction industry where the cost of failures is very high and where a single mistake can be catastrophic ? Mega engineering projects like the Eurotunnel and Petronas towers required thousands of people and billions of dollars to construct and yet most of these projects were completed successfully within or sometimes even before time.Are there some lessons we can learn on how projects are planned and managed in other industries ?",Not-TD-related,Other,,,,0.129,0.788,0.083,-0.8421
2228614,What is the best dictionary for software development terminology?,"On stack overflow, I see that there is referred to Wikipedia a lot. However, I'm often not sure whether they are the definite authority for very specific software development related concepts. For example, I have recently looked for definitions of the terms web server/service and RPC/IPC, and the responses I get very often refer to Wikipedia (directly and indirectly).Hence my question: which sources do you trust the most for definitions of software development jargon?",Not-TD-related,Other,,,,0.026,0.884,0.09,0.5773
2252772,How to demonstrate to management that mediocre developers are hurting team,"I am in the precarious position of managing a team of developers at a small company. I say managing because although I assign work and provide feedback on their performance I have no recourse in actually disciplining an individual. Some of my team I don't know what to do with, they are unable to work on their own, require massive amounts of hand holding and when left along generally wreak havoc on the project usually to a point of failure. When failure does occur I am left to salvage the project and push it (some times limping) across the finish line. These developers not only lack skills with programming concepts, but generally ability to formulate a solution to a problem in code. Simple things like writing loops are tough for them let alone designing and implementing a solution to a problem.We have tried pair programming, offering to pay for classes, buying books, allocating time during the work day to training and even taking whole days to train the team. The other senior developer and I do not know what to do, but our productivity is being throttled with having to deal with these individuals day to day. Management is forcing us to give them work and their major complaint is how things aren't getting done quickly enough.None of our management team works directly with any of the developers other than myself and the other senior developer. Management is non-technical and believes every developer is created equally, and that we obviously need more people on these projects to get them done faster.I am already preparing a document with sections from The Mythical Man Month and Code Complete to send to management to hopefully illustrate with statistics that what is really hindering us is having to drag the mediocre folks through the development cycle.What other resources are out there? Books, articles, general advice anything would be helpful.",Not-TD-related,Other,,,,0.07,0.853,0.077,0.6737
2259157,Scrum. Dealing with low prioritized stories that will introduce architecture change,"today in the university we had a Scrum practicing exercise (simulating the whole process of creating a software solution) and I came up with an issue that couldn't quite understand.Let's say we've had defined our stories and give them a proper prioritization. And there is a story with very little priority... it's going to be done in on of the last sprints, maybe.The problem is, what if this story introduces a huge architecture change to our solution's design? For example from stand-alone application, you will have to go for client-server architecture, because of this story only.In my point of view: isn't it natural to mark somehow which stories are for certain to be done (in some particular moment of time), those that a critical to be done, but it's not critical when, so the team to have them in mind and make better decisions designing his solution. Or how are you dealing with this problem? If it is a problem.Thanks in advance! And excuse my probably lame question.",Not-TD-related,Other,,,,0.104,0.805,0.091,-0.551
2345760,Java refactor to Generics industry standards,There seems to be some debate over refactoring to utilize java generics within my current team. The question I have is what are the current industry standards in terms of refactoring older Java code to take advantage of some of these features? Of course by industry standards I am referring to best practices. A link to a book or a site with these listed will be awarded the answer vote as that is the least subjective way to handle this question.,Not-TD-related,Other,,,,0,0.891,0.109,0.836
2354482,What is your ratio Bug fixing vs Enhancements?,"In the spirit of this question I wanted to have a sense of what is the proportion of time split between fixing bugs and implementing new features. If possible try to give an estimate for the product as a whole as opposed to individual developer stats and try to make an average over the course of a typical year. Do provide a general descriptive of the product/project to allow comparison. Specifically :Maturity of projectIs it still actively developed or strictly in maintenance ?Size estimate of the product/projectSize of team developing it (all inclusive)What is your team score on the Joel test.Ex :approx 80% time spent bug fixes 20% new stuffMature software (20 years old)Actively developed1.5M Line of Text, approx 700k - 900k LOC12-15 actively coding in it.we got 5/12 for sure, some would say 7/12.",Not-TD-related,Other,,,,0,0.894,0.106,0.9118
2456310,scrum and refactoring,If everything in scrum is all about functional things that a user can see is there really any place for refactoring code unrelated to any new functional requirements?,Not-TD-related,Other,,,,0,1,0,0
2510567,Sprint to the finish: how to keep all team-members busy in the final days of a Scrum sprint?,"Given that the tasks in a specific sprint will not divide perfectly into the team, and all finish on the same date, what do you do to keep everyone working as the sprint moves into its final stages?Inevitably it seems like there will be one or two people freed-up. If all the other tasks are emdone-done/em, and the remaining tasks are already underway, then what?Do those team-members pick up items from the top of the product backlog, as they are likely to be needed in the next sprint anyways to get a head start?What do you or your teams do?",Not-TD-related,Other,,,,0.033,0.917,0.051,-0.2565
2693143,Software Metrics in Agile Methodologies,"Agile is a business oriented thing, Agile is about maximizing the customer value while minimizing waste to provide the most optimal ROI. This is what should get measured. And to do so, I use the system that Mary Poppendieck a href=http://groups.yahoo.com/group/scrumdevelopment/message/13433 rel=nofollow noreferrerrecommends/a. This system is based on three holistic measurements that must be taken as a package: olliCycle timeulliFrom product concept to first release orliFrom feature request to feature deployment orliFrom bug detection to resolutionliBusiness Case Realization (without this, everything else is irrelevant)ulliP L orliROI orliGoal of investmentliCustomer Satisfactionullie.g. a href=http://en.wikipedia.org/wiki/Net_Promoter rel=nofollow noreferrerNet Promoter Score/aSure, at the team level you can track things like test coverage, cyclomatic complexity, conformance to coding standards, etc, but high quality is not an end in itself, it's just a mean. Don't misinterpret me, I'm not saying high quality doesn't matters, high quality is mandatory to achieve sustainable pace (and we include no increase of the technical debt in our Definition of Done) but still, the goal is to deliver value to the customer in a fast and profitable way.",Not-TD-related,Other,,,,0.05,0.859,0.091,0.7674
3018891,How would I go about licensing a WPF windows application,"I have developed a small application that I would like to try and sell but I am unfamiliar with how best to go about this. olliHow would I go about locking the program down for trial use1.liHow would I go about dealing with accepting payments?Bearing in mind that I am a one man band with not a lot of money, I was hoping for a solution that would be free or a low cost, effective, secure and simple to implement and maintain. This is not something that I have a lot of experience with as I have typically developed for the public sector where they buy a solution as a whoel and we have never licensed it.Any help would really be appreciated.Thanks,B",Not-TD-related,Other,,,,0.042,0.713,0.245,0.9812
3242133,Test Driven Development Refactoring Design Complexity,I am currently studying test driven development. I am inquiring about an improvement in design if we refactor after the development of every couple of units as opposed to dedicated refactoring sessions that are more spaced apart in time.I am aware that the technical debt will be larger. But I am wondering what other impacts. Maybe the refactoring process is not as effective when there is a larger time interval because...?Thank you..,Not-TD-related,Other,,,,0.07,0.876,0.055,-0.2688
3258426,How can I make OS X recognize drive letters?,"I know. Heresy. But I'm in a bind. I have a lot of config files that use absolute path names, which creates an incompatibility between OS X and Windows. If I can get OS X (which I'm betting is the more flexible of the two) to recognize emQ:/foo/bar/bim.properties/em as a valid absolute file name, it'll save me emdays/em of work spelunking through stack traces and config files.In the end, I need this bit of Java test code to print SUCCESS! when it runs:<code>reAnyone know how this can be done?UPDATE: Thanks for all the feedback, everyone. It's now obvious to me I really should have been clearer in my question.Both the config files and the code that uses them belong to a third-party package I cannot change. (Well, I emcan/em change them, but that means incurring an ongoing maintenance load, which I want to avoid if at all possible.)I'm in emcomplete/em agreement with all of you who are appalled by this state of affairs. But the fact remains: I can't change the third-party code, and I really want to avoid forking the config files.",Not-TD-related,Other,,,,0.05,0.809,0.141,0.9561
3410609,How to best present unit testing to management?,"I am preparing a presentation about unit testing to managers. My team has been writing unit tests for years now but other areas of the company seem to have a hard time adopting it. I can get developers excited about it, but if there is not a buy-in from management, it will not become a standard.Do you guys have suggestions how to best approach management about this? What are some things you have tried in the past that worked? What are things that did not work?",Not-TD-related,Other,,,,0.018,0.875,0.107,0.8702
3477706,Development cost versus maintenance cost,"I'm trying to explain the ratio of development versus maintenance costs to our sales department, and currently I have mostly my gut feeling that we spend about 60% of the time with maintenance.We have some persons on the team who tends to sell custom solutions, that we have to build, and if the sales people doesn't understand the total cost of development, then they will not be able to sell for realistic prices.Another problem is that we are expanding our service, and have a need to refactor some of the underlying infrastructure in order to reduce time to market and other measure points.Do you have any good suggestions on what I should refer to in order to build a solid argument? And what points should I bring up in order to give them a good understanding of the problem?Maybe there is some great text out there somewhere that I can point to.",Not-TD-related,Other,,,,0.033,0.871,0.096,0.8343
3505601,agile friendly way to integrate two separate applications/teams,"We have two distinct agile teams, each working on separate, but related, applications.brEach team has, until now, been able to work in an independent fashion (distinct code bases, persistence stores, sprints, backlogs etc). Recently, product management decided that these applications will become even more closely integrated. On a side note, the size of each team (comprised of QAs, Devs, BAs) will be increasing over the next 6-12 months.Management has decided to keep the agile process largely intact, since it has worked well (two teams working independently as much as possible) but have floated the idea of a contract-based service layer as means of integrating the applications. In each sprint, any story that requires integration with the other application will be identified. At that point, an additional integration story will be added to the other teams backlog. That team will then be tasked with fulfilling the contract. In the meantime, the other team can continue their original story work, substituting a mock/fake service until the other team produces a working service.Since Agile preaches a KISS philosphy, several people on the teams have taken issue with the complexity of this approach. They are advocating continued used of stored procedure sharing as a leaner/simpler integration methodology that has worked well in the past. I prefer contract based programming for all sorts of reasons, but the main reason is it's ability to provide compile time visibility into the behavior your application is expected to provide. You also get clear boundaries around who owns what code, and whose code you are likely to break if you break your contract. Stored procedures do none of that. Since we have already reaped many benefits from agile, I'd like to think that there is already an agile-friendly way to deal with this kind of app integration/synchronization. Does creating a contract based SOA layer meet the agile smell test? Is there a third option I haven't considered?",Not-TD-related,Other,,,,0,0.894,0.106,0.9873
3585276,What is the point of scaffolding?,"I don't understand the significance of something like rails, codeigniter, etc. and scaffolding. From what I read, and maybe it's just wrong, scaffolding isn't used in the production environment. I don't know what it's for. It's neat but I don't know what I am supposed to do with it.Thanks.",Not-TD-related,Other,,,,0.073,0.847,0.079,0.0754
